--- TOP LONGS ---
NCRA   82.52% | Vol: 21453502 | Type: ? | Cat: 
VRT   -10.76% | Vol:   824754 | Type: earnings | Cat: Q2 營收 $32.74 億遜估約 3.4%(EMEA 有機 -2.4%),雖 EPS $1.52 勝估 $1.43、全年指引上修仍重挫 -14.7%
SWKS  -10.33% | Vol:   849123 | Type: earnings | Cat: FQ3 EPS $1.08 超預期,但為併購 Qorvo 停發股息、擬舉債 $20 億,盤後 -10.3%
LII    -9.84% | Vol:        0 | Type: earnings | Cat: 營收 $15.5 億微不及預期,全年 EPS 指引砍至中值 $23.50、低於市場估 4.7%,盤前 -9.8%
FEIM   -9.66% | Vol:   107788 | Type: news | Cat: 定價每股 $57.50、總額 $1 億含董事售股的增資案,盤後重挫 -9.7%
VFC    -9.64% | Vol:   494392 | Type: earnings | Cat: FQ1 調整後 EPS 虧 $0.27 遜於預期虧 $0.24,Vans 疲弱蓋過上修指引 -6.6%
KLAC   -8.44% | Vol:  1284785 | Type: earnings | Cat: FQ4 EPS $1.05 超預期,但 FY27 展望 $38-42 億僅溫和,盤後重挫 -8.4%
STAK   -7.76% | Vol:   151558 | Type: momentum | Cat: 7/24 飆 278% 後投機退潮,連日獲利了結續跌 -7.8%
WLDS   -7.31% | Vol:   140859 | Type: momentum | Cat: Mudra Pro AI 炒作後獲利了結,前日暴漲 20% 後拉回 -7.3%
MAS    -6.87% | Vol:        0 | Type: earnings | Cat: Q2 調整後 EPS $1.64 勝估 $1.32,惟營收 $19.9 億遜於估 $20.8 億、兩部門銷售各減 3-4%
HUM    -6.35% | Vol:        0 | Type: earnings | Cat: 調整後 EPS $7.61 勝估 $7.22,但 Star 評級致全年 GAAP 指引砍至 $6.52、醫療成本率升至 91.2%
ASX    -6.19% | Vol:   206897 | Type: news | Cat: SK Hynix 財報失望+韓股熔斷帶動亞洲半導體全面拋售,ADR 盤前 -5.5%
FIRY   -5.65% | Vol:   120044 | Type: news | Cat: 子公司 Skillz 勝訴 Papaya 獲判 $7.19 億,消息出盡由高點回落 -5.7%
FLEX   -5.54% | Vol:   197948 | Type: earnings | Cat: FQ1 調整後 EPS $1.00 創高、營收 $79.3 億超預期,惟 Q2 展望保守遭獲利了結 -6.4%
BSX    -4.99% | Vol:        0 | Type: ? | Cat: 
SW     -4.96% | Vol:        0 | Type: earnings | Cat: Q2 調整後 EPS $0.35 遜於估 $0.41,調整後 EBITDA 利潤率降至 14.2%(去年 15.3%)
SOFI   -4.96% | Vol:  9668870 | Type: earnings | Cat: Q2 EPS $0.12、營收 $12.2 億雙雙超預期,但全年指引不夠激進遭獲利了結 -4.5%
EHGO   -4.89% | Vol:   174185 | Type: momentum | Cat: 查無個股新聞;近期頻繁增資稀釋後低流通盤,盤前回落 -4.4%
ALM    -4.66% | Vol:   130202 | Type: news | Cat: 大股東 Deutsche Rohstoff 拋售 500 萬股、套現約 6,500 萬歐元,盤前 -4.4%
